name,game_internal_id
Feature 1,414
Feature 2,414
Feature 3,414
Feature 4,414
Feature 5,414
Feature 5,1584
Feature 6,1584
Feature 7,1584
Feature 8,1584
Feature 4,1584
Feature 1,1584
Feature 9,1456
Feature 10,1456
Feature 11,1456
Feature 4,1456
Feature 1,1456
Feature 9,724
Feature 12,724
Feature 13,724
Feature 1,724
Feature 14,724
Feature 9,1506
Feature 15,1506
Feature 16,1506
Feature 13,1506
Feature 14,1506
Feature 1,1506
Feature 17,1282
Feature 18,1282
Feature 19,1282
Feature 1,1282
Feature 9,485
Feature 20,485
Feature 13,485
Feature 21,485
Feature 14,485
Feature 1,485
Feature 22,109
Feature 2,109
Feature 23,109
Feature 4,109
Feature 1,109
Feature 1,1956
Feature 24,1956
Feature 4,1956
Feature 9,1956
Feature 25,1956
Feature 9,467
Feature 12,467
Feature 26,467
Feature 4,467
Feature 1,467
Feature 9,735
Feature 12,735
Feature 13,735
Feature 4,735
Feature 1,735
Feature 1,1959
Feature 6,1959
Feature 27,1959
Feature 28,1959
Feature 4,1959
Feature 1,1941
Feature 2,1941
Feature 24,1941
Feature 4,1941
Feature 9,1941
Feature 9,214
Feature 12,214
Feature 13,214
Feature 4,214
Feature 1,214
Feature 5,1494
Feature 18,1494
Feature 13,1494
Feature 4,1494
Feature 1,1494
Feature 9,258
Feature 12,258
Feature 26,258
Feature 4,258
Feature 1,258
Feature 9,1539
Feature 16,1539
Feature 29,1539
Feature 21,1539
Feature 28,1539
Feature 4,1539
Feature 1,1539
Feature 30,1296
Feature 31,1296
Feature 32,1296
Feature 5,93
Feature 12,93
Feature 8,93
Feature 4,93
Feature 1,93
Feature 9,643
Feature 33,643
Feature 24,643
Feature 14,643
Feature 1,643
Feature 27,199
Feature 13,199
Feature 14,199
Feature 12,199
Feature 1,199
Feature 9,1091
Feature 33,1091
Feature 24,1091
Feature 14,1091
Feature 1,1091
Feature 1,2554
Feature 9,2554
Feature 12,2554
Feature 26,2554
Feature 4,2554
Feature 34,1492
Feature 33,1492
Feature 15,1492
Feature 24,1492
Feature 14,1492
Feature 1,1492
Feature 9,1113
Feature 1,1113
Feature 35,1113
Feature 4,1113
Feature 33,1113
Feature 9,112
Feature 10,112
Feature 2,112
Feature 24,112
Feature 4,112
Feature 1,112
Feature 1,706
Feature 16,706
Feature 9,706
Feature 13,706
Feature 14,706
Feature 1,363
Feature 12,363
Feature 9,363
Feature 24,363
Feature 4,363
Feature 9,16
Feature 12,16
Feature 13,16
Feature 14,16
Feature 1,16
Feature 1,964
Feature 10,964
Feature 28,964
Feature 4,964
Feature 5,964
Feature 27,1012
Feature 12,1012
Feature 1,1012
Feature 9,95
Feature 1,95
Feature 7,95
Feature 13,95
Feature 4,95
Feature 5,1211
Feature 7,1211
Feature 8,1211
Feature 4,1211
Feature 1,1211
Feature 18,1211
Feature 9,408
Feature 36,408
Feature 13,408
Feature 4,408
Feature 1,408
Feature 1,383
Feature 37,383
Feature 38,383
Feature 13,383
Feature 14,383
Feature 9,383
Feature 39,22
Feature 40,22
Feature 41,22
Feature 42,22
Feature 9,1673
Feature 43,1673
Feature 24,1673
Feature 4,1673
Feature 1,1673
Feature 22,346
Feature 44,346
Feature 28,346
Feature 4,346
Feature 1,346
Feature 34,838
Feature 26,838
Feature 1,838
Feature 14,838
Feature 12,838
Feature 5,42
Feature 33,42
Feature 28,42
Feature 4,42
Feature 1,42
Feature 9,1465
Feature 13,1465
Feature 45,1465
Feature 14,1465
Feature 1,1465
Feature 1,845
Feature 33,845
Feature 15,845
Feature 24,845
Feature 14,845
Feature 9,845
Feature 1,617
Feature 43,617
Feature 9,617
Feature 13,617
Feature 4,617
Feature 1,1341
Feature 33,1341
Feature 8,1341
Feature 4,1341
Feature 5,1341
Feature 27,807
Feature 2,807
Feature 1,807
Feature 27,49
Feature 12,49
Feature 1,49
Feature 28,49
Feature 4,49
Feature 9,68
Feature 7,68
Feature 16,68
Feature 13,68
Feature 4,68
Feature 1,68
Feature 9,1223
Feature 46,1223
Feature 24,1223
Feature 4,1223
Feature 1,1223
Feature 1,412
Feature 25,412
Feature 5,412
Feature 13,412
Feature 4,412
Feature 9,946
Feature 47,946
Feature 24,946
Feature 4,946
Feature 1,946
Feature 5,886
Feature 12,886
Feature 8,886
Feature 4,886
Feature 1,886
Feature 5,1374
Feature 21,1374
Feature 8,1374
Feature 4,1374
Feature 1,1374
Feature 9,338
Feature 35,338
Feature 4,338
Feature 10,338
Feature 1,338
Feature 5,910
Feature 33,910
