gameid,provider,category
11,Provider 1,Category 1
12,Provider 1,Category 2
14,Provider 2,Category 3
16,Provider 3,Category 4
19,Provider 4,Category 5
22,Provider 5,Category 6
25,Provider 2,Category 3
27,Provider 6,Category 4
30,Provider 4,Category 4
33,Provider 4,Category 4
41,Provider 4,Category 4
42,Provider 4,Category 4
44,Provider 2,Category 7
46,Provider 6,Category 4
49,Provider 4,Category 4
51,Provider 5,Category 4
61,Provider 4,Category 4
64,Provider 5,Category 4
68,Provider 4,Category 4
78,Provider 5,Category 3
89,Provider 5,Category 4
93,Provider 5,Category 4
95,Provider 4,Category 4
98,Provider 6,Category 4
104,Provider 7,Category 4
109,Provider 4,Category 4
112,Provider 4,Category 4
115,Provider 8,Category 4
125,Provider 4,Category 4
126,Provider 5,Category 4
127,Provider 5,Category 4
130,Provider 5,Category 4
131,Provider 5,Category 4
147,Provider 5,Category 4
156,Provider 4,Category 4
162,Provider 4,Category 4
164,Provider 6,Category 4
165,Provider 4,Category 8
168,Provider 9,Category 8
170,Provider 4,Category 4
176,Provider 2,Category 9
190,Provider 4,Category 4
191,Provider 3,Category 4
195,Provider 4,Category 4
198,Provider 6,Category 4
199,Provider 6,Category 4
214,Provider 5,Category 4
225,Provider 5,Category 4
226,Provider 4,Category 4
229,Provider 6,Category 4
242,Provider 2,Category 5
243,Provider 4,Category 4
246,Provider 9,Category 8
248,Provider 5,Category 4
249,Provider 4,Category 4
254,Provider 3,Category 4
258,Provider 3,Category 4
264,Provider 6,Category 4
272,Provider 9,Category 8
273,Provider 4,Category 4
276,Provider 7,Category 4
294,Provider 6,Category 4
298,Provider 5,Category 4
302,Provider 4,Category 4
305,Provider 8,Category 4
306,Provider 4,Category 4
307,Provider 5,Category 4
315,Provider 6,Category 4
320,Provider 5,Category 4
327,Provider 5,Category 4
329,Provider 4,Category 4
330,Provider 4,Category 4
331,Provider 5,Category 4
332,Provider 4,Category 4
334,Provider 4,Category 4
338,Provider 6,Category 4
339,Provider 4,Category 4
344,Provider 6,Category 4
346,Provider 4,Category 4
353,Provider 7,Category 4
358,Provider 6,Category 4
362,Provider 3,Category 4
363,Provider 3,Category 4
364,Provider 6,Category 3
367,Provider 4,Category 4
383,Provider 5,Category 4
384,Provider 4,Category 4
401,Provider 5,Category 4
406,Provider 4,Category 4
408,Provider 4,Category 4
412,Provider 4,Category 4
414,Provider 5,Category 4
426,Provider 6,Category 4
428,Provider 3,Category 4
429,Provider 6,Category 4
433,Provider 6,Category 4
435,Provider 2,Category 5
438,Provider 6,Category 4
443,Provider 3,Category 4
448,Provider 5,Category 4
452,Provider 4,Category 4
453,Provider 4,Category 4
456,Provider 4,Category 4
457,Provider 8,Category 4
461,Provider 4,Category 4
465,Provider 6,Category 4
467,Provider 3,Category 4
469,Provider 5,Category 4
473,Provider 6,Category 4
474,Provider 6,Category 4
485,Provider 5,Category 4
490,Provider 6,Category 4
504,Provider 3,Category 4
508,Provider 6,Category 4
515,Provider 6,Category 4
520,Provider 6,Category 4
521,Provider 9,Category 8
524,Provider 5,Category 4
526,Provider 6,Category 4
538,Provider 5,Category 4
