gameid,playerid
981.0,1
627.0,1
964.0,2
2958.0,2
620.0,2
939.0,2
46.0,2
845.0,2
1555.0,2
2681.0,2
2884.0,2
41.0,2
711.0,2
2885.0,2
1934.0,2
2308.0,2
2110.0,2
1886.0,2
2156.0,2
1195.0,2
1411.0,2
825.0,2
2734.0,2
964.0,3
2670.0,3
986.0,3
1276.0,3
1985.0,3
1562.0,3
2311.0,3
1713.0,3
2323.0,3
1017.0,3
1485.0,3
939.0,3
1050.0,3
2167.0,3
1470.0,3
162.0,3
1887.0,3
508.0,3
868.0,5
1657.0,5
12.0,5
2668.0,6
164.0,6
711.0,6
198.0,6
981.0,6
521.0,6
384.0,6
1657.0,7
1934.0,7
1257.0,7
1712.0,8
959.0,8
1985.0,8
811.0,8
1126.0,8
12.0,9
1713.0,9
2167.0,10
2238.0,10
825.0,10
1043.0,10
1257.0,10
89.0,10
1158.0,10
964.0,10
819.0,10
1251.0,10
1713.0,10
1426.0,10
2670.0,10
797.0,10
2102.0,10
2138.0,10
1881.0,10
508.0,10
165.0,10
1126.0,10
1411.0,10
813.0,10
981.0,10
164.0,10
1506.0,10
2547.0,10
2663.0,10
1668.0,10
820.0,10
939.0,10
1276.0,10
627.0,10
2203.0,10
2672.0,10
973.0,10
1886.0,11
1713.0,11
981.0,11
939.0,11
666.0,11
2885.0,12
162.0,12
1985.0,12
939.0,12
2558.0,13
719.0,13
1411.0,13
1941.0,13
170.0,13
825.0,13
1689.0,13
1881.0,13
2090.0,13
1017.0,13
1668.0,13
2092.0,13
1276.0,13
2202.0,13
2678.0,13
1882.0,13
883.0,13
964.0,13
1562.0,13
1251.0,13
628.0,13
2102.0,13
25.0,13
1886.0,13
1485.0,13
1546.0,13
456.0,13
1555.0,13
2277.0,13
771.0,13
191.0,13
226.0,13
1331.0,13
363.0,13
2885.0,13
1964.0,13
2670.0,13
2001.0,13
1887.0,13
1878.0,13
1126.0,13
41.0,13
1934.0,13
1237.0,13
1480.0,13
939.0,13
1311.0,13
1963.0,13
198.0,13
715.0,13
2309.0,13
162.0,13
1713.0,14
2325.0,14
1444.0,14
2497.0,14
1356.0,14
16.0,14
249.0,14
2001.0,14
813.0,14
1886.0,14
305.0,14
711.0,14
749.0,14
226.0,14
649.0,14
628.0,14
2547.0,14
170.0,14
2308.0,14
1687.0,14
620.0,14
883.0,14
406.0,14
2089.0,14
1881.0,14
2249.0,14
115.0,14
298.0,14
964.0,14
41.0,14
1485.0,14
30.0,14
1482.0,14
1411.0,14
2238.0,14
2156.0,14
2110.0,14
1126.0,14
1426.0,14
1480.0,14
273.0,14
1063.0,14
2323.0,14
981.0,14
330.0,14
1502.0,14
508.0,14
1331.0,14
1934.0,14
735.0,14
1385.0,14
363.0,14
1657.0,16
819.0,16
1150.0,16
819.0,17
130.0,17
845.0,18
98.0,18
164.0,18
628.0,19
1074.0,19
1934.0,19
950.0,19
1126.0,19
1249.0,19
2323.0,19
1485.0,19
1713.0,19
1276.0,19
1525.0,19
2558.0,19
2885.0,19
1555.0,20
1371.0,21
746.0,21
162.0,21
711.0,22
1485.0,22
964.0,22
162.0,22
981.0,22
1886.0,22
1257.0,22
1480.0,22
1713.0,22
1713.0,23
1956.0,23
2104.0,23
226.0,23
711.0,23
1356.0,23
1657.0,23
406.0,23
1411.0,24
164.0,24
1657.0,25
845.0,25
164.0,25
2092.0,26
64.0,26
838.0,26
1358.0,26
986.0,26
508.0,26
1886.0,26
2323.0,26
2090.0,26
469.0,26
2669.0,26
1690.0,26
508.0,27
127.0,27
1657.0,27
1449.0,28
819.0,28
164.0,29
1657.0,29
1657.0,30
819.0,31
825.0,32
127.0,32
1485.0,33
981.0,33
30.0,33
1257.0,33
2672.0,34
1319.0,35
820.0,35
845.0,35
22.0,35
1385.0,36
656.0,36
2238.0,37
981.0,37
12.0,39
1657.0,39
165.0,39
1449.0,40
1657.0,41
521.0,42
78.0,44
1657.0,47
819.0,47
1356.0,48
1657.0,48
825.0,48
305.0,48
1480.0,48
2881.0,49
819.0,49
2484.0,50
1562.0,50
1657.0,51
939.0,53
1657.0,53
1411.0,53
825.0,53
1657.0,55
1657.0,56
12.0,56
1657.0,57
1485.0,57
1657.0,58
926.0,59
508.0,59
1319.0,59
838.0,59
1358.0,59
