gameid,playerid,rounds
164,1,196
1712,2,15
811,2,54
12,3,1
1276,4,191
2670,4,482
666,5,62
1713,6,4
2238,7,49
1934,7,63
1249,8,27
1985,8,3
273,8,150
1444,8,408
628,8,451
298,8,179
2202,8,162
2308,8,6
819,9,597
1657,9,8
1150,9,5
1277,9,1
845,10,1276
164,10,1970
1546,11,1401
1985,11,16
1713,11,31
1657,12,4
1371,13,399
2090,13,16
162,13,58
1257,14,12
1886,14,4
1713,15,243
1657,16,1
819,17,3
1657,18,21
78,19,74
305,20,125
981,20,17
1657,20,1
825,20,7
711,21,5
2558,21,12
1657,22,1
508,23,1
1657,23,2
1657,24,708
1502,25,5
2669,25,5165
30,26,32
2110,27,651
2881,28,14
2148,28,78
1562,29,2
1657,29,23
1657,30,5
1249,30,68
12,31,5
628,32,129
1480,32,38
226,32,1
2249,33,1591
330,34,1
1668,35,168
2670,35,93
2148,35,133
2151,35,157
2244,35,3159
1506,35,160
2238,35,2
2958,35,6
1952,35,190
2138,35,702
294,35,211
2109,35,105
2143,35,145
2547,35,66
612,35,33
485,35,27
2201,35,1281
819,36,3
363,37,70
1886,37,354
508,38,424
162,39,192
2670,40,76
819,40,9
1657,41,0
1657,42,6
1657,43,199
979,43,8
11,43,1
168,44,24
981,44,74
1657,44,116
2970,45,18
1985,46,40
1985,47,45
2970,47,6
109,47,82
1886,47,12
78,48,1
1657,49,1
2672,50,18
1657,51,2
1249,52,13
1449,53,41
164,54,27
2670,54,221
508,54,142
1657,55,10
508,56,21
1199,56,50
2148,57,1
30,57,78
1657,57,117
825,57,874
1657,58,2
1657,59,8
1657,60,14
165,61,2
910,61,10
1713,62,647
1951,62,159
1119,63,5
1657,64,80
1985,64,21
1249,65,26
746,65,49
735,65,15
298,66,398
1713,66,665
1985,66,39
1257,66,109
991,66,885
825,66,4
1426,66,720
2547,67,587
2529,68,0
44,68,2
2546,68,1
2520,68,0
2479,69,1
820,69,59
711,70,114
93,71,13
2681,71,60
1712,71,20
1063,71,14
327,71,126
1600,71,184
2497,71,73
448,71,66
89,71,6
2547,71,27
485,71,5
2678,71,222
1181,71,7
2669,71,43
2662,71,23
1108,71,29
127,71,60
320,71,20
959,71,4
1886,72,6
2881,72,7
981,72,10
2885,73,34
1411,73,16
2001,73,31
711,73,8
383,73,4
198,73,13
666,73,17
2670,73,1654
1017,73,102
1713,73,7
964,73,477
508,73,282
981,73,27
563,73,6
2238,73,24
2681,73,53
306,73,19
249,73,837
2545,73,4
686,74,55
1657,75,1
818,76,8
162,76,11
1485,76,25
1588,76,53
456,76,5
520,77,303
2669,77,686
1657,77,15
1492,77,85
1657,78,2
1886,79,806
198,79,33
1657,80,3
1886,81,41
508,81,413
1411,82,81
508,82,954
838,82,409
78,82,4
1012,83,5
819,84,1
1657,84,1
2670,85,45
964,85,9
1444,85,102
1126,85,83
981,86,17
1657,86,149
1276,87,1
126,87,361
605,87,67
127,87,7
1886,87,22
1985,87,4
1546,87,28
1364,87,5
1620,87,16
1257,88,89
435,88,12
1532,88,10
2092,88,8
1963,88,28
1449,88,1
1713,88,25
2885,88,41
2970,88,17
1934,88,42
2090,88,23
1485,89,7
686,90,11
1886,91,1071
819,91,15
1657,91,921
1713,92,253
164,92,2
1480,93,2043
819,94,5
1605,95,1184
627,96,113
910,97,386
1713,97,2940
1074,97,1108
1555,97,1302
2670,98,5
2885,98,1
329,98,107
556,98,26
95,99,37
1364,99,4
1636,99,15
1456,99,65
465,99,44
258,99,15
1573,99,47
2116,99,37
443,99,22
1355,99,3
556,99,40
1212,99,25
362,99,25
273,99,41
1590,99,55
1374,99,15
438,99,65
346,99,2
991,99,31
226,99,63
68,99,18
112,99,203
1985,99,4
332,99,43
344,99,81
1331,99,17
625,99,85
1886,99,100
1492,99,32
2090,99,5
795,99,35
1619,99,30
249,100,42
30,100,21
1963,100,86
600,101,51
1037,101,37
508,102,45
1257,103,11
1657,104,3
820,105,2
2238,105,158
1449,105,2
1492,105,244
162,105,26
2484,105,3
845,106,2
508,107,4
1657,107,4
819,107,1
1657,108,1
981,109,2
1985,109,1018
1657,110,2
1257,111,260
1713,111,36
1657,112,2
1017,113,59
1485,114,29
2215,115,127
2156,115,9
2221,115,76
2307,115,4
2244,115,35
981,116,5
164,117,34
2138,117,30
508,118,269
910,119,11
1657,120,58
2670,121,13
1149,122,191
2152,122,3
2212,122,104
2101,122,5
164,122,414
2885,122,172
2670,122,67
2211,122,52
520,122,280
2118,122,23
1985,122,132
1657,123,11
25,124,129
1562,124,4
819,124,17
1985,125,10
1657,125,533
2734,125,13
456,125,560
825,126,39
1017,126,153
598,127,7
1587,127,26
693,127,13
822,127,413
338,127,13
1026,127,1
298,127,22
2142,127,71
825,127,10
1025,127,23
